id,doc_type,title,date,url,first_seen,last_seen
circular:circular-strengthening-of-accessibility-standards-under-the-rights-of-persons-with-disability-act-2016,circular,"Circular - Strengthening of accessibility standards under the Rights of Persons with Disability Act, 2016",2026-07-15,https://www.pfrda.org.in/w/circular-strengthening-of-accessibility-standards-under-the-rights-of-persons-with-disability-act-2016,2026-07-17T05:26:58.901960+00:00,2026-07-17T05:27:00.483885+00:00
circular:circular-introduction-of-nps-pride-disha-pension-fund-returns-for-informed-decision-empowerment-a-subscriber-awareness-and-decision-support-digital-tool-kit,circular,Circular - Introduction of NPS PRIDE- DISHA (Pension Fund Returns for Informed Decision & Empowerment) : A Subscriber Awareness and Decision Support Digital Tool Kit,2026-07-14,https://www.pfrda.org.in/w/circular-introduction-of-nps-pride-disha-pension-fund-returns-for-informed-decision-empowerment-a-subscriber-awareness-and-decision-support-digital-tool-kit,2026-07-15T05:15:10.615102+00:00,2026-07-17T05:27:00.485573+00:00
circular:enhancement-of-investment-choice-options-under-nps-for-subscribers-of-central-autonomous-bodies-cabs-,circular,Enhancement of Investment Choice Options under NPS for subscribers of Central Autonomous Bodies (CABs),2026-07-09,https://www.pfrda.org.in/w/enhancement-of-investment-choice-options-under-nps-for-subscribers-of-central-autonomous-bodies-cabs-,2026-07-10T06:26:10.191919+00:00,2026-07-17T05:27:00.486700+00:00
circular:press-release-pfrda-sets-up-ascend-panel-to-bridge-global-pension-funds-with-indian-pension-funds-of-nps,circular,PRESS Release - PFRDA Sets Up ASCEND Panel to bridge Global Pension Funds with Indian Pension Funds of NPS,2026-07-08,https://www.pfrda.org.in/w/press-release-pfrda-sets-up-ascend-panel-to-bridge-global-pension-funds-with-indian-pension-funds-of-nps,2026-07-09T06:26:56.977697+00:00,2026-07-17T05:26:58.896319+00:00
circular:government-extends-additional-nps-investment-choices-to-employees-of-central-autonomous-bodies-cabs-,circular,Government Extends Additional NPS Investment Choices to Employees of Central Autonomous Bodies (CABs),2026-07-07,https://pfrda.org.in/w/government-extends-additional-nps-investment-choices-to-employees-of-central-autonomous-bodies-cabs-,2026-07-09T06:26:56.995828+00:00,2026-07-17T05:26:58.898020+00:00
circular:pre-bid-responses-engagement-of-training-agency-for-subscriber-awareness-education-and-training-for-stakeholders-on-nps-sanchay-copy-1-,circular,"Pre-Bid Responses: ENGAGEMENT OF TRAINING AGENCY FOR SUBSCRIBER AWARENESS, EDUCATION AND TRAINING FOR STAKEHOLDERS ON NPS SANCHAY",2026-07-07,https://www.pfrda.org.in/w/pre-bid-responses-engagement-of-training-agency-for-subscriber-awareness-education-and-training-for-stakeholders-on-nps-sanchay-copy-1-,2026-07-08T04:54:10.440051+00:00,2026-07-17T05:26:58.925181+00:00
circular:additional-investment-choices-extended-to-central-autonomous-bodies-employees-subscribed-under-nps,circular,Additional Investment Choices extended to Central Autonomous Bodies Employees subscribed under NPS,2026-07-07,https://pfrda.org.in/w/additional-investment-choices-extended-to-central-autonomous-bodies-employees-subscribed-under-nps,2026-07-08T04:54:10.420774+00:00,2026-07-08T05:36:21.046046+00:00
circular:corrigendum-hindi-engagement-of-training-agency-for-subscriber-awareness-education-and-training-for-stakeholders-on-nps-sanchay-copy-,circular,"Corrigendum (Hindi): ENGAGEMENT OF TRAINING AGENCY FOR SUBSCRIBER AWARENESS, EDUCATION AND TRAINING FOR STAKEHOLDERS ON NPS SANCHAY",2026-06-22,https://pfrda.org.in/w/corrigendum-hindi-engagement-of-training-agency-for-subscriber-awareness-education-and-training-for-stakeholders-on-nps-sanchay-copy-,2026-06-22T18:18:38.286042+00:00,2026-07-17T05:26:58.927071+00:00
circular:corrigendum-english-engagement-of-training-agency-for-subscriber-awareness-education-and-training-for-stakeholders-on-nps-sanchay,circular,"Corrigendum (English): ENGAGEMENT OF TRAINING AGENCY FOR SUBSCRIBER AWARENESS, EDUCATION AND TRAINING FOR STAKEHOLDERS ON NPS SANCHAY",2026-06-22,https://www.pfrda.org.in/w/corrigendum-english-engagement-of-training-agency-for-subscriber-awareness-education-and-training-for-stakeholders-on-nps-sanchay,2026-06-22T18:18:38.284986+00:00,2026-07-17T05:26:58.926162+00:00
circular:pfrda-launches-ai-powered-pfrda-pension-sahayak-portal-to-transform-pension-grievance-redressal-1,circular,PFRDA Launches AI-Powered “PFRDA Pension Sahayak” Portal to Transform Pension Grievance Redressal,2026-06-22,https://www.pfrda.org.in/w/pfrda-launches-ai-powered-pfrda-pension-sahayak-portal-to-transform-pension-grievance-redressal-1,2026-06-22T18:18:38.267621+00:00,2026-07-17T05:26:58.899044+00:00
